...1,...2,Method1_Edgescore,Method2_Edgescore,Method3_Edgescore,Method4_Edgescore
Gene 2,Gene 1,0.3726908811125736,0.0031070589282055656,0.00522353667986887,0.023534348810720238
Gene 3,Gene 1,0.197849462016617,0.008934731171308916,0.01522948494756147,0.05259014516108604
Gene 4,Gene 1,0.3258957508035367,0.012337513075952721,0.01625937545969265,0.011515847321633185
Gene 5,Gene 1,0.9164545109127088,0.039929497896029884,0.04469222268372451,8.283711534450677e-4
Gene 6,Gene 1,0.48797557458459606,0.010132794472140338,0.009419716174166454,0.1069937884717023
Gene 7,Gene 1,0.1068204290056525,0.01048162682710519,0.013826197284776576,0.05953578696530457
Gene 8,Gene 1,0.5469806310873832,0.009832615123413869,0.0209469472510695,0.022968136569510068
Gene 9,Gene 1,0.27085269498852294,4.0063723170131755e-4,0.010037357811676207,0.007904043980600035
Gene 10,Gene 1,0.7539537424316359,0.028900469641277016,0.024705653112021036,0.08768546309751901
Gene 11,Gene 1,0.7185429882779345,0.038345635402402614,0.04473298248244077,0.08717469862288499
Gene 12,Gene 1,0.7324088272384887,0.0339724568049215,0.036278424580072174,0.1705229695337153
Gene 13,Gene 1,0.5151259485946985,0.02981480785199959,0.050679828199553696,0.044534474007362046
Gene 14,Gene 1,0.29928227341041697,0.0028373597404298357,0.014314311347507233,0.05448586579808727
Gene 15,Gene 1,0.6599135198286039,0.039459385018995104,0.027016841564450653,0.04112170688526631
Gene 16,Gene 1,0.7132482403234598,0.039856590656973265,0.04487153060973205,0.039501395150694583
Gene 17,Gene 1,0.343464748546264,0.0031192652952072904,0.001291691977387069,0.026119428712181682
Gene 18,Gene 1,0.25799452133326667,0.0013733205754748014,0.007223852260430864,0.02156380776091603
Gene 19,Gene 1,0.018320794150229188,0.014133604497856628,0.019188643574303485,0.0744199608791481
Gene 20,Gene 1,0.5690240813137721,0.012477354069756419,0.01095220022317474,0.041377440510267996
Gene 21,Gene 1,0.9000763341718759,0.03299899698849122,0.043580860443202835,0.004570022468791781
Gene 22,Gene 1,0.4765542709974395,0.007728664568552175,0.006003498412144464,0.01516261517331462
Gene 23,Gene 1,0.02612823968460314,0.004450935293738017,0.01975886254750276,0.04171312587028443
Gene 24,Gene 1,0.27810656680842977,0.005402888547843951,0.00793966273864506,0.04450156782803272
