 , ,Method 1 _pval,Method 2 _pval,Method 3 _pval,Method 4 _pval
Gene 61,Gene 1,0.6381869743063053,0.03481417744212911,0.5066721192862556,0.41644432133796494
Gene 62,Gene 1,0.9287936744335734,0.029298739607699575,0.1735428522336293,0.5553878377394266
Gene 63,Gene 1,0.40427003704066555,0.26175373719817463,0.05753330759266939,0.8114525289992964
Gene 64,Gene 1,0.48319496004104967,0.0412175335784859,0.6854828684302026,0.7947037226132732
Gene 65,Gene 1,0.9202983175302155,0.7797773484360766,8.588904552457866e-4,0.04373100536715557
Gene 66,Gene 1,0.9042860547586498,0.17021751825675846,0.06853554250850036,0.8236884512696265
Gene 67,Gene 1,0.60885804614879,0.002246901396090628,0.0041598906619571,0.5355929841838871
Gene 68,Gene 1,0.4914951781031778,0.12234655651551196,0.40245911422908587,0.04265495399231045
Gene 69,Gene 1,0.6624290225212492,0.3113946335373219,0.19604759632467728,0.3719723282478169
Gene 70,Gene 1,0.5888123628356783,0.675134475573127,0.03340111113262134,0.004850281454357619
Gene 71,Gene 1,0.517196103491103,0.5748864306508992,0.007179903468150783,9.347466934617188e-5
Gene 72,Gene 1,0.9736322819995229,0.396339135395295,0.9691554237833468,0.9454004812934653
Gene 73,Gene 1,0.5148517290838406,0.1261112648551468,0.22292569534664763,0.9907377559728192
Gene 74,Gene 1,0.6307835525082257,0.0023204419511155816,0.05625416624066393,0.03818898361464984
Gene 75,Gene 1,0.5026792358280523,0.35958627548113453,0.532293997804973,0.39756020469336795
Gene 76,Gene 1,0.534433458037715,0.7505853044534032,0.3485345225780081,0.7582535967437807
Gene 77,Gene 1,0.6781905966396602,0.7599286549364468,0.8267127573879296,0.9539341150055471
Gene 78,Gene 1,0.8506450647849604,0.43412051438035415,0.21978667413132902,0.6791115093586066
Gene 79,Gene 1,0.36149586851322413,0.028891728584864662,0.003464142731251396,0.30556675730332916
Gene 80,Gene 1,0.5346396743988797,0.046516475072541086,0.3133310328019119,0.6834884075055381
Gene 81,Gene 1,0.7270740873502599,0.3219161851413519,0.6461634862214376,0.015947579149507174
Gene 82,Gene 1,0.3551534738140729,0.055001422852372306,0.027191420962333623,0.6990738196025448
Gene 83,Gene 1,0.6656210392064781,0.5018605111936192,0.19492840674144896,0.8328809665157388
Gene 84,Gene 1,0.5376499663176686,0.011243405316858857,0.2641753328438481,0.9809882001694274
Gene 85,Gene 1,0.3628972784105029,0.04679255697424223,0.04067752613707354,0.4504064312437537
Gene 86,Gene 1,0.6966881783282886,0.6921428443223712,0.4039680730316242,0.6228864866399082
Gene 87,Gene 1,0.974416409361897,0.7038518910603306,0.27128428765827906,0.5048128691162976
Gene 88,Gene 1,0.5088904878892966,0.04393197824364137,0.04888560367847283,0.46734691461727795
Gene 89,Gene 1,0.6589649850131893,0.20583817483649103,0.7830850615004721,0.23553626803784966
Gene 90,Gene 1,0.4172658018686153,0.20528521151078372,2.9513868226693774e-4,6.576249225176412e-7
Gene 91,Gene 1,0.9080877577654594,0.4543821220986817,0.4529561655259453,0.576530645058563
Gene 92,Gene 1,0.38458458259039086,0.34168681140983304,0.013244258589875546,0.10666349032416567
Gene 93,Gene 1,0.6808550555008435,0.761603459733248,0.10045737214408379,0.01691162583084549
Gene 94,Gene 1,0.557099467110211,0.9823283129704374,0.1437735401982949,0.019012493233470096
Gene 95,Gene 1,0.5467062713497031,6.937585104862531e-4,0.0031434287112390713,9.992710541384398e-5
Gene 96,Gene 1,0.45947329037805096,5.167442286562185e-4,0.8868876549544427,0.023833462231611202
Gene 97,Gene 1,0.8167146372425602,0.6808819937848649,0.02568953724243994,0.3332958931330534
Gene 98,Gene 1,0.6839298192447685,0.9727489542394905,0.11866591129197723,0.920118520233917
Gene 99,Gene 1,0.8676879235835835,0.2299477309172695,0.06679920074477752,0.020628965438461044
Gene 100,Gene 1,0.8811620687892232,0.9911859628938793,0.02985517795712722,0.7076713319999146
Gene 3,Gene 2,0.5758290536027615,0.0703606252779545,0.4866448369357741,0.2121364659335998
Gene 4,Gene 2,0.3218535674573577,0.06117100609955006,0.1230615554137322,0.945040937001711
Gene 5,Gene 2,0.5035989358162332,0.5425770682927191,0.3635412471218695,0.2995455995802867
Gene 6,Gene 2,0.17477478428200555,0.016508084928327893,0.0024319061028992284,0.07012369400346041
Gene 7,Gene 2,0.41702223683298034,0.025073897403031342,0.2608049249094755,0.4715234605270635
Gene 8,Gene 2,0.35363754600298924,0.13242585347795433,0.10385624277360339,0.008181467504964512
Gene 9,Gene 2,0.3944122353709456,0.15322098466720324,0.1933368017620185,0.9318883294167459
Gene 10,Gene 2,0.39134584515079984,0.37190317776008364,0.08577930917834942,0.7090781057096269
Gene 11,Gene 2,0.590341356090222,0.38726803809446286,0.564940602948607,0.8808700584533773
Gene 12,Gene 2,0.6297985707063394,0.601010385787988,0.6467875775337484,1.0060338243844669e-4
Gene 13,Gene 2,0.8886198084641928,0.6171539952472216,0.5082407444115717,0.7224338151553922
Gene 14,Gene 2,0.21523756856513,0.034633248473293854,0.004662174540233988,0.3936733888244792
Gene 15,Gene 2,0.8105852199301127,0.7028329892815959,0.35911970893653167,0.03197212283424178
Gene 16,Gene 2,0.7435348374003625,0.18468440374816142,0.14115749580948722,0.09497869944858728
Gene 17,Gene 2,0.22452436601961723,0.014990935279973527,0.035558188990543194,0.4319448919553823
Gene 18,Gene 2,0.1732255614494982,0.007910584831736456,0.0010869364710379692,0.030437914513438136
Gene 19,Gene 2,0.24712318606961503,0.008357718767872724,0.024979793884356116,0.9742634775042966
Gene 20,Gene 2,0.20705908961454922,0.050252752882050666,0.002990455027003236,0.2588138632375576
Gene 21,Gene 2,0.3851483718164246,0.30195326086361574,0.17273634140597616,0.5695831055639082
Gene 22,Gene 2,0.1946382920492986,0.029785160496575314,0.0046030162797214835,0.41246668276031695
Gene 23,Gene 2,0.36422781493222534,0.0345837219068017,0.2966365971542333,0.7806058072416646
Gene 24,Gene 2,0.19192290674014711,0.011620270404635091,0.0016550527720382568,0.1374264061516388
Gene 25,Gene 2,0.20156337562108773,0.015612903981800264,0.0011333796886829894,0.43409513522929677
Gene 26,Gene 2,0.29005090194807304,0.13227801089993907,0.04489361580860196,0.32772214391307
Gene 27,Gene 2,0.8195770726086393,0.5525789829137202,0.2840860869940456,0.8065145890240264
Gene 28,Gene 2,0.6050464470652077,0.07532710192828218,0.14915704941537844,0.7388753027150172
Gene 29,Gene 2,0.3307250423176291,0.16249537913195722,0.02895760027934191,0.03888197204693
Gene 30,Gene 2,0.4655344330352509,0.3403240512132495,0.24803014637881704,0.7394800783376099
Gene 31,Gene 2,0.4769260523789489,0.6278140944934656,0.168663896416422,0.11501138921839682
Gene 32,Gene 2,0.31025683828297845,0.01837161104184637,0.007041490979240228,0.6965554343410509
Gene 33,Gene 2,0.9373339494828326,0.5879058552636434,0.42424131040180235,0.12766452519683336
Gene 34,Gene 2,0.7466955063469998,0.5593190246663866,0.06776944973673493,0.3009000780091411
Gene 35,Gene 2,0.8694792815812891,0.7958668936370616,0.2704875461314378,0.6572619823969617
Gene 36,Gene 2,0.20690366207042943,0.010828996283670289,0.02245589804300452,0.40583645243062794
Gene 37,Gene 2,0.8189591286323636,0.9707096554023176,0.5380619014398387,0.9105497850716331
Gene 38,Gene 2,0.33588033533895834,0.011081376067402449,0.056717691815887594,0.39743861747282616
Gene 39,Gene 2,0.5851568257618485,0.46089472705066425,0.2619624203694606,0.5579644544694176
Gene 40,Gene 2,0.7589140066890614,0.8179162273873783,0.44668348234646715,0.9122375387172652
Gene 41,Gene 2,0.23959278458880706,0.02091043692292538,0.05004229436232022,0.932881758504253
Gene 42,Gene 2,0.6221289939024925,0.6101810628351483,0.998723168169513,0.03953120313210268
Gene 43,Gene 2,0.9013697020472471,0.7184467890235009,0.7103803264358297,0.8561956389214831
Gene 44,Gene 2,0.9743594377602214,0.8626845380571588,0.8291666101673452,0.2460433161120772
Gene 45,Gene 2,0.8542727597546109,0.20019550175977674,0.3922842323094531,0.9228117734644572
Gene 46,Gene 2,0.9089432798037058,0.9633296940111347,0.4536888656038849,0.2534493671098248
Gene 47,Gene 2,0.2559835122096623,0.017851885981755133,0.04824066873170363,0.4272191099087834
Gene 48,Gene 2,0.9551095542097439,0.7732206456044104,0.9288261677089944,0.9444222008979062
Gene 49,Gene 2,0.4410642901304769,0.17634573279204302,0.38411941596087806,0.8112094649735946
Gene 50,Gene 2,0.19912138409938152,0.011667471639002613,0.006767044752269635,0.534091071024068
Gene 51,Gene 2,0.25318353082132194,0.017136993579908166,0.07051592914923543,0.8959797440062758
Gene 52,Gene 2,0.6392551989858362,0.11981937479449156,0.2816059902268362,0.16029668477921
Gene 53,Gene 2,0.5977364647381407,0.15237598945112474,0.5756382412435646,0.9753820745319095
Gene 54,Gene 2,0.46154278835094,0.1371560236803686,0.26723706467766206,0.3271204985110898
Gene 55,Gene 2,0.5344100235422653,0.42309438621196027,0.28973887444605695,0.2750838352597227
Gene 56,Gene 2,0.4470819509668962,0.2574826912495729,0.339252072093444,0.7299711863449685
Gene 57,Gene 2,0.5296134626032707,0.06657380760829534,0.3069158043775422,0.6126707530310336
Gene 58,Gene 2,0.2830049246154769,0.15000983702084025,0.029488827639956527,0.0770479093697638
Gene 59,Gene 2,0.27803856910814506,0.07040176100778583,0.07841232119891473,0.7851343324317821
Gene 60,Gene 2,0.4328390156508306,0.374762198764107,0.21117964700881986,0.2819383460441296
Gene 61,Gene 2,0.8691006967002048,0.480145929311379,0.4666781823268207,0.7670072251423683
Gene 62,Gene 2,0.6173225512434062,0.5365892392389939,0.14308610636320518,0.9890542523242525
Gene 63,Gene 2,0.4208208549954704,0.43127945505274745,0.08571042490217118,0.8401660916560201
Gene 64,Gene 2,0.4535171104990319,0.2124649988736944,0.6426815827394059,0.7462788284156501
Gene 65,Gene 2,0.33510656711349385,0.08695151849670246,0.04253698031936759,0.1434756812031377
Gene 66,Gene 2,0.9689661266043579,0.9526629512165363,0.4952872019554464,0.08853319184112474
Gene 67,Gene 2,0.848298107597601,0.9050462509312054,0.09731769582652405,0.6360039191397835
Gene 68,Gene 2,0.24762208848627165,0.08351087413238845,0.009553341991893616,0.20792811302183578
Gene 69,Gene 2,0.7172954780548426,0.11848418946890038,0.3252096441277421,0.08783607631296331
Gene 70,Gene 2,0.20868576830299035,0.011457794946959865,0.010288409475453841,0.06911697198763123
Gene 71,Gene 2,0.20858218317395694,0.014462564807853129,0.008683965911632008,0.8870306069322222
Gene 72,Gene 2,0.5517757445101106,0.10191252957071328,0.12270891852039334,0.6148494284505932
Gene 73,Gene 2,0.7196093666200731,0.6670825810687939,0.6058051172752614,0.9182801779082663
Gene 74,Gene 2,0.47068757678096307,0.07725668918790851,0.010474906264758888,0.9792767818892711
Gene 75,Gene 2,0.503003835440835,0.48478025838857297,0.38928301633808005,0.9649107637259431
Gene 76,Gene 2,0.19025782919362988,0.022552986192211355,0.0035338380164999794,0.34253006783778583
Gene 77,Gene 2,0.18608013737562512,0.018563144822546063,0.0018427273442003234,0.44178698708382425
Gene 78,Gene 2,0.904135849147645,0.8291940252615828,0.37806784601294297,0.6895409346469514
Gene 79,Gene 2,0.29115584284777873,0.050214036159928144,0.20107805895026054,0.9257916632089076
Gene 80,Gene 2,0.2908827227771358,0.027131072553617575,0.12473079063297376,0.5007874820344214
Gene 81,Gene 2,0.9946478590822982,0.7464937440275712,0.25748819930725064,0.5571673177399894
Gene 82,Gene 2,0.5440031865839168,0.6801865362307655,0.4400965447558578,0.4485041112813475
Gene 83,Gene 2,0.9441390516753245,0.3028103719663422,0.654059241530375,0.11566398532058408
Gene 84,Gene 2,0.6821994604822288,0.9556798494251211,0.19111153281640547,0.7660087196871241
Gene 85,Gene 2,0.589694694078613,0.8077437480796978,0.5481083731811878,0.6261000177260561
Gene 86,Gene 2,0.20404254734651617,0.009568703571908532,0.007743529942541683,0.7687079388155846
Gene 87,Gene 2,0.3945633277192109,0.06132571575546941,0.00810385035512784,0.19255512610261216
Gene 88,Gene 2,0.31601924482917965,0.04853000570796184,0.06717533899677752,0.8477723746899832
Gene 89,Gene 2,0.9316993815912882,0.9985619511512787,0.23987891711890086,0.03984699961773219
Gene 90,Gene 2,0.3068721564746082,0.06233423085099021,0.08479977617862855,0.08231443719255815
Gene 91,Gene 2,0.7411076860092416,0.4723200146786466,0.05983333983998418,0.3486546603253493
Gene 92,Gene 2,0.29586984611443223,0.16258296763886948,0.022428468110473387,0.6550078787585445
Gene 93,Gene 2,0.4139693018891475,0.12025586402396504,0.17091987605893988,0.20629498604698138
Gene 94,Gene 2,0.31464062912600044,0.10499304570570756,0.042116409867636095,0.991371558533368
Gene 95,Gene 2,0.4492246197013845,0.037249791122741405,0.02482567723119522,0.12349886199796978
Gene 96,Gene 2,0.7922357224439041,0.8566495718146796,0.585146813338213,0.17653614498019676
Gene 97,Gene 2,0.5059457809875032,0.11639087229415601,0.030311508783499308,0.8796128622486026
Gene 98,Gene 2,0.2301913691396087,0.012689625855161868,0.005302689491683443,0.7230115659062388
Gene 99,Gene 2,0.33259841413381563,0.010936363258039039,0.08596565337806505,0.7467555979668958
Gene 100,Gene 2,0.8157439942385394,0.3892711419248709,0.5728360869957996,0.05317867816412303
Gene 4,Gene 3,0.5789522365258708,0.5144336951273141,0.9651048514691005,0.3596317707056649
Gene 5,Gene 3,0.9126151626408181,0.45686158772546603,0.3979231676868986,0.114305032324451
Gene 6,Gene 3,0.6403171531402199,0.17920178778732399,0.5907571089847505,0.9804558819453226
Gene 7,Gene 3,0.24389957047890576,0.04375738167409615,8.719881350316427e-6,0.06825442646956836
Gene 8,Gene 3,0.8049175518698706,0.8738714845235767,0.4681102004504072,0.00239563882943461
Gene 9,Gene 3,0.7387462802738323,0.9130379154761508,0.07956809357022854,0.35237748358345367
Gene 10,Gene 3,0.7937034138116985,0.69945960144018815,0.03518324451303556,0.046191560040320434
Gene 11,Gene 3,0.8155333496781931,0.7215324716374292,0.9627589600720172,0.7507157226959196
Gene 12,Gene 3,0.8885483692057219,0.3983874854507037,0.4777000587970064,0.04619242578100824
Gene 13,Gene 3,0.7549606394337625,0.8958399082515194,0.004849848525921185,0.00465364915087596
Gene 14,Gene 3,0.7296458614370125,0.31284182555756024,0.9472402440483938,0.5630591810021324
Gene 15,Gene 3,0.8728503233427327,0.38759335988884236,0.9222802946766555,0.004016087032835625
Gene 16,Gene 3,0.5549309877185062,0.015930393462498804,0.07504322284028331,0.516720565183145
Gene 17,Gene 3,0.4399553658831723,0.1775950894271523,0.010877975761441228,0.03549063300246136
Gene 18,Gene 3,0.5214999565287572,0.04985844907735526,0.46076371390512927,0.12193990246742681
Gene 19,Gene 3,0.3464440337336594,0.03729556122517308,0.0014197225319378948,0.9875603895239133
Gene 20,Gene 3,0.8794441908612698,0.4565231038106208,0.5869162704152768,0.9581997302251286
Gene 21,Gene 3,0.9278525047489117,0.7420513366080506,0.24233032840872593,0.09990298933003428
Gene 22,Gene 3,0.7861409725997637,0.3117816899312007,0.6026991130844808,0.28312657179600165
Gene 23,Gene 3,0.2938169216277098,0.19140889041683073,1.391935132710742e-6,0.03202417405872571
Gene 24,Gene 3,0.6253453056736467,0.037369686387223044,0.8631236183510642,0.6890239994839675
Gene 25,Gene 3,0.6331255707355765,0.03951807583230971,0.9588649380969345,0.02042014800577241
Gene 26,Gene 3,0.9326820667349285,0.9854801073206061,0.6833135921048195,0.5741517979062074
Gene 27,Gene 3,0.698595650638479,0.7724604619489908,0.8222269755476104,0.1919184542817518
Gene 28,Gene 3,0.3181405162059916,0.014639114978730827,1.929713632311536e-4,0.00893104157627822
Gene 29,Gene 3,0.9596739004171104,0.9505056713889102,0.26707302883983774,0.7480231882708026
Gene 30,Gene 3,0.9627801536585299,0.766728253244217,0.2657197415076773,0.966001833429867
Gene 31,Gene 3,0.7043854244541037,0.3769903015289324,0.025617819872373104,0.04825395670179211
Gene 32,Gene 3,0.43511109113713786,0.008820297910194785,0.06963604526653011,0.39203919985695035
Gene 33,Gene 3,0.39748194804317105,0.35805233436918393,1.7765436307359828e-4,0.14458386946562762
Gene 34,Gene 3,0.8271662898703778,0.1590017194603397,0.00978632278651137,0.20219410086143785
Gene 35,Gene 3,0.7504173690829112,0.31998109524905427,0.018559386440443193,0.055822647031927186
Gene 36,Gene 3,0.41957605120960917,0.10990691090157245,0.013053529200905523,0.23859381756992515
Gene 37,Gene 3,0.940604995630399,0.14204953628630412,0.24296160782771903,0.06763305056983548
Gene 38,Gene 3,0.2319183869681234,0.012188158223096712,1.6175152796060743e-5,0.004426953015653989
Gene 39,Gene 3,0.8922181335221373,0.8657692388559972,0.4873744494304335,0.64365256134802
Gene 40,Gene 3,0.4249256311583618,0.3093287765172821,9.298886765485292e-5,0.5700438363866891
Gene 41,Gene 3,0.517322168052931,0.17039791809461802,0.2520088646599068,0.007930228455558908
Gene 42,Gene 3,0.9581584514428136,0.3191136674753139,0.6022199270091437,0.12253437784101973
Gene 43,Gene 3,0.48808156423907123,0.32532766470125285,0.0013822386603807857,0.004629236319222629
Gene 44,Gene 3,0.929569198805243,0.39265940670576494,0.6982325650025016,0.0079180388232154009
Gene 45,Gene 3,0.4289334079283573,0.02187569176458326,0.006556777959685567,7.168116914768596e-4
Gene 46,Gene 3,0.9053437016686843,0.23025404077045875,0.26999445553746737,0.0022554894172921447
Gene 47,Gene 3,0.44266446827284556,0.14528035129791705,0.021081157606602785,0.056503294640250834
Gene 48,Gene 3,0.6822054620628721,0.9909460011944324,0.0406546846153526,0.016210890205487605
Gene 49,Gene 3,0.7421679803202976,0.9730141650625241,0.2230061659642486,0.8052108623147294
Gene 50,Gene 3,0.5257099470373037,0.07265054589769737,0.2602039317931435,0.19723124197668085
Gene 51,Gene 3,0.45238484686063174,0.15113149115171587,0.04916678237082284,0.08796169697537604
Gene 52,Gene 3,0.36331059986928915,0.06391417990552695,0.0028836327921799576,0.038888908186229365
Gene 53,Gene 3,0.5599407249992465,0.45898901676681514,0.00606027678755261,0.18147789687373939
Gene 54,Gene 3,0.6774449869440493,0.6195695868486164,0.08729559793172093,0.6251881045173295
Gene 55,Gene 3,0.8281972673906242,0.743192841283197,0.07651354023765489,2.220446049250313e-16
Gene 56,Gene 3,0.8061223872882526,0.7116950400948319,0.31384439129445196,0.484682353405963
Gene 57,Gene 3,0.30450603470766624,0.06381833127078784,9.529684849451936e-4,0.49888487678664184
Gene 58,Gene 3,0.9585425672721861,0.9799056198304299,0.17688340301415684,0.21775110995852498
Gene 59,Gene 3,0.757392897720651,0.5108117107115548,0.02087720327122744,0.054298898503475135
Gene 60,Gene 3,0.9329481298681481,0.5240250354794318,0.16154404331377137,0.17052562870023302
Gene 61,Gene 3,0.9110915001758744,0.08193444689105545,0.1341113688840747,2.507661285056084e-4
Gene 62,Gene 3,0.7433693969386614,0.6428391932872835,0.020416286631372405,0.20442841895107922
Gene 63,Gene 3,0.6803807266674986,0.5983120208563615,0.007492877350038452,0.5021427218175503
Gene 64,Gene 3,0.7222218074948699,0.8127770867410964,0.3161795331407298,0.019378990281168518
Gene 65,Gene 3,0.8034577645782714,0.26052728949044246,0.08758249692457798,0.027213714461235217
Gene 66,Gene 3,0.9745096024312363,0.38071123455044953,0.22423205946838243,0.1861557675677914
Gene 67,Gene 3,0.7049896276301983,0.5776702525358088,0.007162875974097815,0.0027048251613923657
Gene 68,Gene 3,0.9340345348650247,0.5418009084198303,0.3109684029252342,0.4176361822782766
Gene 69,Gene 3,0.28014371948740036,0.02122463332995439,5.66084574971093e-6,0.007097324469137911
Gene 70,Gene 3,0.40593143435294854,0.08273721766087139,3.8951025454370125e-5,2.550977886706107e-7
Gene 71,Gene 3,0.6047587066371105,0.07145536486779669,0.9356926413119218,0.7632309056892566
Gene 72,Gene 3,0.4773530902950056,0.054740652721438465,0.2048982167455764,0.5114046920494006
Gene 73,Gene 3,0.8867540084320873,0.3057568237319155,0.24730361795857103,0.6974735092248676
Gene 74,Gene 3,0.6917420669737191,0.01160971049052506,0.939342657958002,0.5451752440308628
Gene 75,Gene 3,0.8496046337224255,0.4170859010129824,0.2824396022947453,0.7334696485666863
Gene 76,Gene 3,0.7668932769482815,0.21244205935760263,0.5100649090259597,0.007702976968701591
Gene 77,Gene 3,0.7513346313361686,0.11614316919698564,0.6302704855717056,0.609032653832585
Gene 78,Gene 3,0.7245449731763915,0.37792954125518285,0.01418455142569619,0.21258537833669156
Gene 79,Gene 3,0.5602842153525169,0.47313259431064036,0.10674958700340498,0.07800523025871753
Gene 80,Gene 3,0.420797232410534,0.1784900477607667,0.02340348943874626,0.6485422797311522
Gene 81,Gene 3,0.9358425432691941,0.10459216144059269,0.43336646081440144,0.14090247631013497
Gene 82,Gene 3,0.7262064407002,0.2514716011858078,0.07914630586844273,0.613424447393303
Gene 83,Gene 3,0.26174386940666805,0.1136358300573177,2.3037655116908695e-8,1.3185102648805014e-5
Gene 84,Gene 3,0.7330979966141904,0.3878149525882453,0.48586518310230153,0.9336240318376947
Gene 85,Gene 3,0.6773988119088001,0.18644094163318137,0.04753009798395458,0.46348736349957287
Gene 86,Gene 3,0.4820043598134618,0.03939731132638036,0.04454568989767704,0.19432938539421496
Gene 87,Gene 3,0.6512139895105467,0.036711062002538375,0.09622753933654637,1.970414327425729e-4
Gene 88,Gene 3,0.6741959312714445,0.14706039710828978,0.26976157232031683,1.284743420182366e-5
Gene 89,Gene 3,0.9417744751153754,0.19578562153553825,0.37461791564747404,0.2988474371429155
Gene 90,Gene 3,0.5842999382510787,0.4978238637790724,0.19252562218948022,0.04455152131569573
Gene 91,Gene 3,0.9689438031614619,0.09119133009151437,0.08083820634928118,0.6978986916716148
Gene 92,Gene 3,0.8542026466880415,0.842865279413272,0.04018282330894407,0.10756842690034563
Gene 93,Gene 3,0.6640765613489568,0.6107223489193054,0.14000146436915162,0.00805103034115806
Gene 94,Gene 3,0.9674446251832751,0.5570880415603818,0.18230509270477224,0.010766789793807297
