 , ,Method 1 _pval,Method 2 _pval,Method 3 _pval,Method 4 _pval
Gene 2,Gene 1,0.6022778343395472,0.7673288852159734,0.5874932723362474,0.49916053410132966
Gene 3,Gene 1,0.7820490791769923,0.3948735311117386,0.11373976931919239,0.13099852715897198
Gene 4,Gene 1,0.6486094660916377,0.2400573697375703,0.09130364809043146,0.7408797933684153
Gene 5,Gene 1,0.2000308692077981,1.4335985499247528e-4,3.4613217430035093e-6,0.9810221390440819
Gene 6,Gene 1,0.495031313577722,0.3345956959476786,0.3279498271594883,0.0021232485356559305
Gene 7,Gene 1,0.8812653988518597,0.31822307349952306,0.1510389186182779,0.08733492914710328
Gene 8,Gene 1,0.444370261238237,0.3491116734239783,0.029602243066736644,0.5095414557504363
Gene 9,Gene 1,0.7048891358610951,0.9695674471156552,0.2972286916387503,0.8204454126991134
Gene 10,Gene 1,0.2917724062116145,0.005922240180156413,0.010296208718491462,0.011803291540981142
Gene 11,Gene 1,0.3150282656281804,2.607387761868196e-4,3.39109531055648e-6,0.012303971116573331
Gene 12,Gene 1,0.30578072425627423,0.0012162677264027089,1.648448673929881e-4,9.744504803066434e-7
Gene 13,Gene 1,0.4713450198105811,0.004523756212813312,1.4158738292913142e-7,0.2009499792066507
Gene 14,Gene 1,0.6755950396014481,0.7870152869980656,0.1371303055513886,0.11767358627101165
Gene 15,Gene 1,0.35613933977137835,1.7159752737416767e-4,0.00502012126197271,0.23766276362597982
Gene 16,Gene 1,0.3186074820184843,1.474318181515777e-4,3.1624592005119467e-6,0.25666030688266317
Gene 17,Gene 1,0.6310416450364911,0.7664413305228996,0.8932885785363338,0.4532280802539512
Gene 18,Gene 1,0.718286645856294,0.895953405792691,0.45312946144968524,0.5357679970039042
Gene 19,Gene 1,0.9795622903140841,0.1783422658792777,0.04628668055359664,0.032594748844836374
Gene 20,Gene 1,0.42623129052849773,0.23477045436692334,0.2553700488576065,0.23475757381224804
Gene 21,Gene 1,0.2081884779542711,0.0016760359974405947,6.0128158501093765e-6,0.8955913581752761
Gene 22,Gene 1,0.5051821842925892,0.46175235245024293,0.5329741492917535,0.663265652667921
Gene 23,Gene 1,0.970856012245982,0.6716812951989743,0.0401708563255776,0.23098241340277292
Gene 24,Gene 1,0.6973708761259023,0.6069082662235541,0.40962940921654445,0.2012829975716366
Gene 25,Gene 1,0.6537190898827385,0.6146753243429168,0.46956307220594695,0.5576889355069079
Gene 26,Gene 1,0.3699003074942502,0.10389301359166736,0.08007879803100737,0.5662530115745805
Gene 27,Gene 1,0.48370696640395283,0.005280652847267975,0.0072931049104927315,0.02814708345611927
Gene 28,Gene 1,0.8184697611075906,0.6072333549460611,0.742815209376338,0.3857334114078421
Gene 29,Gene 1,0.42330793430155333,0.10413434713153924,0.5994732705683332,0.38810978720847866
Gene 30,Gene 1,0.24523904044353628,3.871649032922697e-4,7.346625181536837e-7,0.004545247481135828
Gene 31,Gene 1,0.2603608130305579,0.0020261532136607308,0.0028376520692812157,0.2021096908613318
Gene 32,Gene 1,0.9024924387358961,0.832816151596854,0.6455430598042651,0.690487436598886
Gene 33,Gene 1,0.8399251944746187,0.8489566580804724,0.9379141230225096,0.0016140483608237943
Gene 34,Gene 1,0.9647231843776389,0.4350870057228815,0.2997293830414698,0.07883507526019762
Gene 35,Gene 1,0.7182401559872127,0.22855756142724748,0.6638901483978008,0.6234464768799355
Gene 36,Gene 1,0.6566630730998131,0.5294967528189507,0.5818977006223844,0.27790015210327734
Gene 37,Gene 1,0.3836409706408461,6.335352298205699e-4,0.06841090774094605,0.6019287151757455
Gene 38,Gene 1,0.8774770396543619,0.42009237219344,0.08069635662001717,0.1938354146216077
Gene 39,Gene 1,0.981737223305398,0.04786656154218916,0.07481164566380949,0.45969634332409925
Gene 40,Gene 1,0.2889158134412637,0.05395325345173485,2.1112634041031697e-7,1.2101248946394527e-4
Gene 41,Gene 1,0.44899757720197164,0.06077276803877463,0.049694994144370064,0.01023029546680454
Gene 42,Gene 1,0.41376521407013245,0.005291148449394267,0.3118865822602652,0.030824467671124456
Gene 43,Gene 1,0.774830918656146,0.3650242843227487,0.28473304553282985,0.38073039755206306
Gene 44,Gene 1,0.5120644821892348,1.6511175880418172e-4,0.026591082052956683,0.6771873509749569
Gene 45,Gene 1,0.35342426254405046,0.00111005280998544,5.567332335263409e-4,0.3337601709296327
Gene 46,Gene 1,0.46443562002560546,0.0019163800708767997,0.17564720865790506,0.35263351282303557
Gene 47,Gene 1,0.770932889276815,0.7509766724402238,0.5443438719261686,0.5659095123438473
Gene 48,Gene 1,0.59294259820112,0.001584250946802257,0.0021781193745833427,0.3617154137159386
Gene 49,Gene 1,0.7090175159631376,0.9534384743030693,0.4724740324691905,0.11900790443008114
Gene 50,Gene 1,0.5918105817621715,0.8958216953123512,0.07751856080826114,0.6881629420537485
Gene 51,Gene 1,0.6939338038831799,0.9329779987705498,0.9640961884581576,0.6513289215183473
Gene 52,Gene 1,0.895661942266631,0.9398986740338269,0.7959718301155596,0.5031379917914118
Gene 53,Gene 1,0.6837811441915642,0.00966371413236744,0.0015236397954978553,0.2449462021325739
Gene 54,Gene 1,0.9261239745075247,0.16429951804608667,0.27936138694360646,0.2300327811513645
Gene 55,Gene 1,0.35425303404195363,0.0035398221978399924,1.4827354158719608e-4,0.017398728385763063
Gene 56,Gene 1,0.579612097947497,0.19522059979503492,0.4655201663688864,0.3269161445513218
Gene 57,Gene 1,0.8895233900981991,0.780876167182964,0.07993259491888138,0.17047740625033514
Gene 58,Gene 1,0.2945698844189506,0.04282772103069776,0.0030686673534354725,0.9510670854469885
Gene 59,Gene 1,0.5014070745349137,0.48110256989645817,0.07259144376999171,4.522350341096271e-6
Gene 60,Gene 1,0.3191168366491044,0.0014342301809113778,0.10751119401790765,0.566487778219382
