Sample1,sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47
2.84,2.57,2.57,2.59,9.7,9.34,9.57,9.62,2.211759833,5.149999061,4.7467051,2.082263175,5.357108572,5.481508846,3.197383583,3.390014587,3.111484773,3.246225926,2.939156652,3.101441215,2.931205615,3.201713765,3.220890355,3.2280478440000002,3.232525292,3.153489343,3.106919381,3.34544953,3.217768722,3.235564735,3.174182906,3.329716104,2.899149569,3.45881506,3.314648681,3.498066791,3.256754367,3.376722015,3.359576555,3.496225196,3.303944072,2.890452255,3.376722015,2.968274962,3.364775108,3.376722015,3.425314785
2.12,2.13,2.21,2.18,5.94,5.88,6.01,6.28,8.978853435,9.252523521,10.54786814,9.840442777,7.011540365,7.026268908,3.814948191,3.873992075,4.044959865,4.162309103,3.982732643,3.807492024,4.036515274,4.136163579,3.980444009,3.732819333,3.952238629,4.012384302,4.094851216,3.954530115,4.282062329,4.073074671,3.710567439,4.036805586,4.087220489,4.082661083,3.736781509,3.351430421,3.364006452,3.583728776,3.718098014,4.232199475,3.827223771,3.818560848,3.795943597,3.616636325,3.713360365,3.530442188,3.81982215
2.71,2.72,2.88,2.74,4.82,4.73,4.71,4.68,7.083564424,6.694058347,8.337028647,7.869643192,6.264247413,6.965888155,7.830179526,7.655971029,6.945351363,5.854962902,5.559826093,5.212156135,7.782399447,8.11535181,7.093979586,4.870601862,5.192139544,5.677722015,7.679228996,7.470551265,6.89079497,6.070986641,6.289348936,5.852912646,6.690660774,6.437896716,6.585830571,5.786268763,6.730376024,6.619453073,6.497652249,6.689802173,6.344536035,6.401715353,5.829362113,6.256671963,6.287906255,6.687773426,6.922842549
2.77,2.36,2.43,2.22,6.35,6.57,6.5,6.48,8.221480788,9.163979182,8.192909219,8.013400843,6.471125666,3.770501364,4.149039797,4.21093253,4.180574351,3.756464657,4.70399409,3.995155621,3.934533329,4.713463491,4.631390638,3.957573962,5.215072398,4.914814884,4.295889591,3.62796837,3.714857197,4.178155059,3.706091212,3.923898543,6.918046231,7.878823766,6.520989295,5.559189095,5.552863584,5.035315676,5.283420502,6.326620832,5.321573211,5.041190348,4.727223242,4.83615483,7.424897218,6.062243303,6.045201839
3.01,2.75,2.56,2.51,6.53,6.56,6.35,6.42,3.595503661,4.276206311,3.590266665,4.485729504,3.329496783,4.481873683,3.018558846,3.375224324,3.067092933,3.551299315,3.377492244,3.278296222,3.071392541,3.154955612,3.143316487,2.997143343,2.932194833,3.282084536,3.304675809,3.213849703,3.648114063,3.376383562,3.032666159,3.50464432,3.497978924,3.645831772,3.497978924,3.576005067,3.46368282,3.557007407,3.379542908,3.518122707,3.468697798,3.455642758,3.497978924,3.463249416,3.502094915,3.754410996,3.497978924
2.54,2.39,2.32,2.35,6.75,6.39,6.82,7.06,8.50165012,8.589924493,10.01615363,9.404360324,6.390650491,5.773838126,4.054130169,4.298746302,3.888733464,3.856736166,3.436007009,3.51385097,4.080888521,3.640940513,3.707350765,3.854118076,3.405437032,3.714247186,3.775843518,3.567358506,3.710861907,3.536942256,3.620837592,3.507968513,4.006011237,4.539495515,3.982024784,3.746212568,4.132400599,3.493004901,3.966539142,4.625971302,3.95183203,3.764915279,3.817225525,3.547892665,3.619056906,4.046296787,4.143701464
2.79,2.84,2.73,2.79,3.6,3.69,3.63,3.62,4.541582983,4.984931073,5.020359961,5.027799863,5.154822159,4.338959175,4.260892031,4.316916777,4.254183039,3.910939107,3.911283165,3.819795116,4.175848839,4.3823798,4.008356101,3.943481993,4.17368189,3.951241495,4.175061324,4.199398817,4.645647271,4.314145536,4.264578295,4.200807626,4.728504159,4.591029615,4.130051192,4.011992303,4.313500415,4.229106577,3.995703923,4.42049634,4.284822745,4.170629613,4.248968035,4.491638012,4.29696075,4.106475593,4.082820323
2.5,2.5,2.64,2.77,5.93,5.81,6.32,5.98,6.460316637,6.759888183,5.219029085,5.412049832,7.444923769,7.945250684,2.786767992,2.643826502,2.873742986,3.006757423,2.927499581,3.039516986,2.96611264,2.822667036,2.818174718,2.738470261,2.749078804,3.061626974,3.413192029,2.920373792,2.962218471,3.067813591,2.615902938,2.936209226,5.260941887,5.195814052,5.297849229,4.556060026,3.87033122,4.827616943,4.406051979,4.192181937,4.604993552,3.963622123,3.66695339,3.807740642,4.660388448,5.583050762,5.740094625
3.95,3.97,4.15,4.08,7.48,7.47,7.85,7.98,10.38985716,10.57249181,11.73301108,11.441139,7.045628625,6.95986287,4.313431906,3.816809213,3.168561508,3.132845459,2.272736331,2.220571401,3.626132404,3.877698478,4.260078574,2.847673953,2.58499142,2.072006395,3.15442531,3.360189174,2.901973674,2.83297593,2.826289472,2.214703151,7.09549171,6.917951905,8.290468959,6.671582064,8.146780259,8.177099801,8.143104475,8.683088474,8.671432035,9.099235444,8.361443138,9.048997331,5.967973759,6.130352602,6.491300234
3.24,3.17,3.06,3.2,7.84,7.26,7.63,8.1,4.964338557,5.030720098,7.284153192,5.943243879,3.994670229,0.663626982,2.149567678,2.190497341,2.224187105,2.069724542,2.013385928,2.143653373,2.126383329,2.131305423,1.919484614,2.115967101,2.275961619,2.189530221,2.035131569,2.219937063,2.09626211,2.127350449,2.361343522,2.435262057,2.633657646,2.712747184,2.68779515,2.76394113,2.621296041,2.841638537,2.661840838,2.712747184,2.664565047,3.090952063,2.664297904,2.721415567,2.712747184,2.715405802,2.712747184
3.44,3.53,3.27,2.97,10.44,11.06,11.85,11.43,6.842840588,7.934127233,6.672920299,5.810080585,7.04697118,5.311637526,7.9740051,7.31970933,7.260191826,7.871697852,6.8406276,7.21963438,7.491402888,6.999505848,7.231467326,7.832738739,6.362686189,6.80148985,7.759733889,8.301844831,7.903520435,7.743787422,8.223655269,7.987221965,5.780878604,6.02750156,5.266280917,5.424224824,5.038732347,5.014005167,5.014005167,5.225699123,5.376703243,5.516597546,5.142183671,5.040797813,5.857834267,5.620369606,5.392715305
2.45,2.33,2.54,2.54,6.08,6.13,5.58,5.7,2.393037217,6.189176189,4.18449454,3.268594584,2.51421065,4.987134377,3.044941307,3.20432421,3.373852005,3.620641998,3.360060992,3.432837351,3.688947563,3.540027802,3.324934528,3.129766068,3.525047335,3.636784415,3.562060534,3.383664456,3.432837351,3.655500246,3.43709165,3.429241401,4.620933335,4.668375563,4.177729008,3.960060177,3.450678582,3.983897161,3.935464843,3.699201393,3.984862853,3.877024873,3.980177647,3.828838091,5.183851256,4.225684263,4.88347266
3.53,3.79,3.57,3.88,7.81,7.96,8.51,8.47,3.093773117,3.984780725,0.082484602,2.133750919,5.218099174,4.798900739,6.038959993,5.701215112,5.749590014,7.26494986,6.448900838,6.774513519,5.554073608,5.307657807,5.505155037,6.549569981,5.5133835940000004,6.656691982,4.987488217,6.100846106,5.942981944,6.079612683,7.066080047,6.7448843,3.016577224,3.247641784,2.982446675,3.289280484,3.164514577,3.129086638,3.144623477,3.237650004,3.236301983,3.069519729,3.450539723,3.247015219,3.230713545,3.094451316,3.027105844
2.55,2.55,2.62,2.8,5.82,5.61,5.7,6.2,9.836561679,9.929546919,11.51477322,10.88562774,4.507991214,4.821623487,2.706299741,2.48956244,2.307106166,2.372409349,2.824528219,2.748248928,2.358638206,2.533093081,2.543659349,2.487982146,2.533942778,2.38841441,2.505187138,2.166304378,2.399618234,2.505616746,2.436962969,2.462600568,5.079285146,4.661493575,4.436656616,2.932466527,4.52691742,3.453192274,3.87193759,4.590774175,3.608752172,4.645114703,3.437814687,4.3396310829999996,4.40596726,3.938172457,3.953464021
3.51,3.05,3.1,3.63,10.36,10.67,11.69,11.54,5.396906132,9.190195067,4.737475857,4.927597836,7.52100361,4.502871575,7.322644254,6.627382364,7.029353373,7.208027355,7.012308099,8.132209487,6.380186141,6.495589779,7.156370903,6.661047666,7.179554068,7.45143769,6.44252192,6.299018519,6.218091363,6.598238872,6.669402036,6.433274967,8.960633529,9.545052502,7.719626761,7.295215863,6.5341359,6.555827251,6.369620225,6.304498193,6.754635144,6.743638145,6.218202414,5.750252033,9.888755999,8.874850073,8.643292727
3.34,3.28,3.16,2.9,6.57,6.22,6.82,6.55,1.24898409,2.159893935,-0.020324353,-0.356945479,1.374177033,3.731519976,2.441488019,2.456504275,2.440248357,2.42742576,2.494428777,2.383133163,2.441488019,2.703183399,2.355796148,2.426035612,2.314250449,2.458720416,2.521728461,2.429918195,2.271148496,2.42551556,2.387512847,2.482218875,3.484626106,3.906336812,3.055658235,3.293524865,2.934527196,2.981770689,2.91571161,2.931734056,3.253704126,2.990170966,2.95772404,3.014687704,5.620707544,3.574132066,3.828074834
3.49,4.16,3.71,3.32,8.38,8.71,8.65,9.17,11.58789469,11.5389358,12.23660024,11.90296669,10.64754837,10.42240122,6.63339745,7.218175884,6.667604368,6.22455718,6.09783658,5.681000052,7.088453134,7.130303996,6.674317127,6.366646408,6.274525126,5.844185339,6.744363632,6.099620066,5.704529225,6.379364406,6.123761355,5.831677246,8.452593801,9.043530723,8.159858435,7.820028283,7.352788316,8.490975481,7.093674067,8.214528017,8.083793861,8.249374247,7.083029441,7.409482248,7.562443618,7.616527128,8.140572088
