Sample1,sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47
2.3,2.37,2.58,2.35,5.47,5.98,5.63,6.14,9.574322938,9.874601803,10.63380353,10.22594246,6.755475147,5.539872226,4.812561335,4.651644144,4.960094369,4.745607252,4.537302036,4.681667945,4.482546288,4.450679949,4.411381343,4.430804801,4.582163646,4.378873753,4.17231967,4.293284032,4.939216313,3.917224295,4.367732047,4.712908109,4.632806977,4.829265179,4.149211614,4.042166924,4.151345429,3.780181972,4.097294032,4.55311623,4.516731321,4.678875589,4.189325308,4.016392969,4.232300602,4.047064439,4.280670818
4.17,4.23,4.39,3.97,6.58,6.4,6.34,6.24,12.16770666,12.27546399,12.73699377,12.75791915,10.37590826,9.519877992,8.227767227,7.397810161,7.149943038,6.918437788,6.015394159,6.485032949,7.464182353,7.036279524,7.010417983,6.543931165,5.736513867,5.838038568,7.624914136,6.904969613,6.779491667,6.844748102,6.703790129,6.774959373,8.163971318,8.375656747,8.31868737,7.104652702,7.501970938,7.835645636,7.264333801,8.248494122,7.992785874,8.617692083,8.058464991,8.592552317,7.083273175,6.41875533,6.835105573
3.09,2.35,2.72,2.74,7.52,6.75,7.3,7.47,7.973341491,7.720928243,10.24092248,9.767221104,6.141295856,5.490724147,2.279322271,2.599807566,2.688666972,2.440093274,2.557056007,2.688129534,2.229448522,2.442380154,2.647460982,2.216266006,2.288815332,2.386704314,2.461699178,2.486290908,2.316971911,2.205268103,2.711700078,2.494286048,3.091446119,3.431906619,3.314273584,3.158379247,3.073203005,3.439251026,3.222184648,3.041864202,3.051757758,3.4220785,3.011767073,3.095479539,3.225666086,3.361964488,3.214305962
2.69,3.45,3.22,2.47,7.98,8.72,8.6,8.36,5.71867671,5.075250225,5.359710912,5.350444206,6.1481247,5.460057744,3.156076051,3.30564062,3.402181623,3.446910908,3.178195143,3.38757078,3.385273115,3.51242901,3.199119932,3.32997869,3.560430664,3.204439442,3.71603939,3.815926087,3.276541111,3.58805449,3.26768341,3.022643476,4.133680322,3.768659523,3.754714397,3.74851067,3.670524878,3.572848173,4.106663088,3.728876435,3.72992507,3.939675115,3.6829258,3.50577692,3.993118134,3.704752736,3.982490632
2.49,3.15,2.94,2.41,7,7.5,6.85,7.04,9.275768341,9.287292206,10.64350449,10.43408607,7.758742891,5.210209607,3.16075805,3.064551948,3.067091246,3.16075805,2.789833847,3.102017502,2.734979718,2.78747302,2.876972056,2.778300677,2.738521933,2.864977348,3.046050533,2.864899695,3.274293077,3.09279523,2.675628436,3.040926488,3.863623955,4.472396789,4.251714226,3.819363882,3.530183396,3.8325653,3.644249681,4.587777763,4.217890397,4.15501447,3.831869778,4.474162275,3.789913514,3.516549991,3.501493266
4.18,4.66,4.17,3.9,7.64,7.41,7.73,7.79,11.24175678,11.15194251,12.33309384,11.92904014,8.747702921,8.904071582,8.711971055,8.474204759,8.461160567,7.26356133,6.891584646,7.179713985,7.961082359,8.324691401,7.762919174,6.676821902,6.22875116,5.875904725,7.794755191,7.801893103,7.580845733,6.405002923,6.726978055,6.867023249,9.445010757,9.759314347,9.744150434,8.459937114,9.03120598,9.408287352,8.654271882,10.10650704,9.406201726,10.05532136,9.047277118,10.17750766,8.480858062,8.506911894,9.162463611
3.83,3.84,3.66,3.55,7.52,7.39,7.75,8.29,14.14312807,14.54585739,14.26427398,14.57451075,13.72400217,11.91077763,6.119145632,6.140705685,6.384816965,6.96555254,4.416366459,4.969444612,6.027766401,5.985850618,5.251680082,6.626391045,4.173580828,4.17970578,7.14869095,5.945585245,5.699291512,8.086413641,5.889414197,6.846480254,4.208072552,4.93697611,4.677666304,4.411308077,4.88347266,4.875769446,4.432557897,5.710784947,4.536804949,5.00026651,4.409320728,5.084104359,3.733595463,3.320204633,3.78423737
2.84,3.21,2.88,2.58,6.95,7.53,6.69,7,10.73416766,10.3369528,11.74900204,11.18669615,7.23688481,6.294530693,5.72154434,5.507961091,5.381514367,5.926530672,5.590691797,5.355789197,5.7183755,5.637793563,5.29676754,5.684325747,5.49874922,5.68878325,5.407582081,5.298955473,5.030582529,5.468815364,6.157338265,5.17927746,3.475778228,3.348615653,3.274973324,3.165744049,3.267767286,3.310029113,3.658230855,3.550738111,3.416998511,3.265815398,3.263365534,3.453393116,3.087452127,3.449309406,3.37510178
3.5,4.01,4.2,3.32,7.56,7.76,7.72,7.88,7.739679364,6.860577995,8.416269745,7.318009468,6.181706861,6.318891635,3.611161289,3.573444624,3.421890454,3.280547263,3.384414898,3.464612357,3.50010014,3.310862917,3.225408234,3.215370504,3.17551603,3.29285059,2.992700219,3.126461247,3.757704957,3.080081666,3.344977427,3.314956758,5.541398492,5.184428171,5.191190134,4.762040927,4.944490971,4.830237843,5.08399565,5.413996782,4.875310341,5.344522152,5.018403081,4.790439424,4.8191284,4.748775448,4.561348481
2.28,2.28,2.29,2.29,6.45,6.55,7.42,7.36,4.470504328,7.551323748,3.879823372,2.330285897,6.359798747,3.783540469,5.120910183,5.470145261,5.10058806,5.101497942,5.296681577,5.330139939,4.964988213,5.562071639,5.456264132,4.929229708,5.976741535,5.212468245,4.84223368,5.282596799,5.457086601,5.100903785,4.987136166,5.172624383,6.578943493,7.3663178,5.434995672,4.622684843,4.659972244,4.902700626,5.116114614,5.182335622,5.21548407,4.808913562,4.834135619,4.825289376,7.833503693,6.065464703,5.946932144
2.4,2.36,2.54,2.17,4.6,4.54,4.5,4.2,6.997190774,7.08306441,6.971302127,7.060739158,6.489674586,6.174985586,7.176153674,7.602447954,7.341016059,7.272512513,6.841445701,6.884306759,7.729902327,7.66092051,7.58925418,7.128342557,6.927163205,6.656032612,7.623150617,7.31459173,7.129487845,7.158580598,6.715839037,6.633454048,5.048977921,4.994889615,4.914203292,4.650066132,4.538247348,4.851287995,4.342732121,4.911137525,4.747959127,5.090897232,4.725627786,4.957051791,4.725627786,5.034594509,4.40596726
3.37,3.25,3.75,3.17,6.19,6.5,6.22,6.66,6.699565513,6.933065056,6.141498188,5.978065177,5.320379974,6.125934142,3.076985382,2.941729597,2.918919228,2.948753943,4.35729063,3.02433837,2.955500549,3.020060037,3.397734269,2.862631468,3.480037713,3.306738493,2.64154985,2.788848113,2.895628872,2.584299324,2.906813275,2.465742416,5.877266251,5.557448126,4.177729008,3.717170238,4.177729008,3.523211684,3.810767818,5.169137379,3.912646935,3.823786547,3.732103592,3.945914271,6.298712531,4.826378304,4.22674438
3.86,3,2.98,3.46,9.16,9.1,9.08,8.14,5.691732354,5.551592918,6.230226074,5.565581945,5.75180111,5.279166678,5.389447615,5.245197942,5.369178252,5.289978559,5.91666574,5.861045874,5.275148234,4.739781083,5.456356119,4.900195827,5.100650613,5.788761165,5.207352864,5.116762588,5.393076782,5.2502976,5.193767618,5.998862775,4.140143324,4.467740842,4.239979856,3.82811587,4.265607028,4.151162901,4.473413027,4.201055156,4.098444492,4.120354263,4.03413631,4.287111303,4.173442243,3.934299778,4.377835337
3.07,2.97,2.99,3.43,5.9,6.34,5.99,6.52,4.257802676,3.796390097,4.178180801,4.515674611,1.966227413,3.482525641,2.077996069,2.189178474,2.371791638,2.483280208,2.252847147,2.292812863,2.297905644,2.304047248,2.068076356,2.539944303,2.297905644,2.217291647,2.157123096,2.393023151,2.198329609,2.219782802,2.320793777,2.246568821,2.879708654,2.930453899,2.808353785,2.865762031,2.845237209,2.719261618,2.907839356,3.017416753,2.893170435,3.089766742,2.809835315,2.851762863,2.863223861,2.714823282,2.768568028
3.08,3.19,2.7,2.49,6.05,5.93,5.83,6.24,9.747718024,9.479311413,10.84137565,10.12034157,8.305332181,7.694921969,7.794086101,7.336740554,7.279172562,7.295545056,6.59084482,6.799245834,8.280048434,7.986442664,7.854185251,7.564028576,7.205749308,7.129234792,7.851482728,7.234394319,7.061869086,7.183454075,6.904073068,6.573605196,4.756869165,4.714240043,4.445302179,3.575312914,4.228545931,4.337661105,3.899905609,4.408737414,3.822623322,4.447111994,4.188102307,4.604127547,4.127476864,3.393612237,3.742375533
4.6,4.58,4.23,4.75,8.34,7.52,7.9,7.78,7.76540877,7.760507061,7.985056351,7.959289099,6.544100488,9.773414529,10.14222824,9.824769427,9.277650683,10.036216,10.56885526,10.23207064,9.859285138,10.27641541,9.634387165,10.53888324,10.72986737,9.93838364,10.15756313,9.527298646,9.479384888,10.96726078,10.30462751,10.05619034,9.300043117,9.261280313,10.60905674,10.2115962,9.016483564,10.47486771,9.478275892,8.528126369,9.961998895,8.674864486,10.11705958,10.04315356,7.345073729,9.576602088,8.698208414
2.44,2.25,2.89,2.71,6.11,7.05,6.39,6.55,4.661658403,1.99224273,5.141142555,0.9245408,1.951811567,4.208766947,3.932610587,3.74523216,4.114338272,3.605460741,3.708121557,3.605464269,3.987679,3.454443912,3.930012743,4.405184106,3.731971131,3.763999583,3.747004736,3.640955925,3.79530014,3.468941753,3.742881192,3.968677138,12.02997513,11.69453689,11.49385857,11.62827893,11.19232253,10.11024111,10.96885886,11.52860368,10.84152304,9.563866099,8.705411,9.396810561,12.21986621,12.06708797,11.74474701
2.32,3.72,3.1,3.8,9.27,9.58,10.21,10.15,5.895300197,10.58774002,6.430459242,7.827742824,8.270930673,5.450204997,5.930434834,5.2632323,4.797330498,3.581546114,3.770422428,3.832306828,5.060370724,5.4738879,5.512507913,3.269648566,5.824704879,4.611439123,5.14053334,4.865203319,3.627566299,3.742784607,3.832736455,3.248636934,12.59368127,12.92563923,12.38944904,11.82734798,11.00123148,11.31150989,11.49488184,11.31712002,11.81337281,10.49216763,9.691853589,9.182583874,12.79187493,12.61359297,12.93156068
4.06,3.58,3.23,2.97,8.82,8.72,9.46,9.88,12.85241637,12.7715328,13.3033384,13.13976397,9.781228553,8.29447831,8.107409471,7.541305855,7.346493445,6.7119304380000004,6.625409742,6.551726792,8.003863863,7.5588729,7.1319549779999996,6.674580358,6.713813879,6.241510752,7.561924681,6.518304881,6.417017108,6.735277888,6.301197348,6.24090559,8.601007216,8.938403829,8.494065611,6.298941864,7.157221897,7.248604458,6.643699053,9.119461522,7.551299087,8.177557855,6.852569095,8.085846202,8.013740829,6.233803284,7.518369163
2.87,2.86,2.64,2.73,10.24,11.01,12.49,12.39,5.191286276,8.696094692,4.563762178,3.680841924,0.71389813,5.222673204,5.421611794,4.82791711,4.274324047,3.456346077,3.529958039,3.831660706,4.084361632,4.946564554,4.863905948,3.39635731,3.713230582,3.349176187,4.772757109,4.976432967,3.99214767,3.376383562,4.074861406,3.63334725,9.21377999,10.35058585,7.69388198,7.162052083,5.877563487,5.656407835,5.710719136,6.130316533,7.454365923,5.571152889,5.365090225,5.598238743,10.84576528,9.398118709,9.645958354
5.83,5.88,6.13,5.86,8.19,8.13,8.64,8.65,12.09119404,12.13544637,12.73513923,12.76691603,10.68681564,10.21720648,10.60434454,10.29036622,10.16676446,10.03144721,9.584112518,9.668361965,10.77087807,10.40834458,10.18293369,10.05729754,9.585628701,9.736202102,10.52531657,10.15716148,9.738778858,10.08645751,9.771017124,9.48406138,9.597897642,9.828757587,9.698672131,9.238632575,9.14777289,9.062686338,9.017196919,9.887110167,9.424051498,9.428242403,8.974588317,9.426551481,9.67705579,9.137064678,9.260230372
7.31,7.51,7.6,7.41,5.4,5.21,4.83,5.38,8.452488362,8.146319189,8.10974187,8.02233452,8.397636132,8.935545199,4.251051559,4.674347,3.955185467,3.921224265,4.188376817,4.055062322,4.518371487,4.458740956,3.975398693,4.575880178,3.774716975,3.489974903,4.270866511,4.45315715,4.355094784,4.274725913,4.678654812,3.843404626,6.542492923,6.688036932,6.22964365,6.155375206,6.657299242,6.337745504,6.54488018,6.582839428,6.22274068,6.774851793,6.302997773,6.257451999,6.448770542,6.349566168,6.506475671
6.67,7.08,6.85,6.58,8.79,8.95,9.24,8.99,5.393103821,5.355418054,4.513459163,1.652380942,7.579904211,8.326123837,3.42938643,3.38040759,3.410750681,3.295627843,3.835851193,3.677617601,3.369397728,3.39191066,3.122707751,3.306010109,3.316648635,4.047122239,3.650531617,3.50547362,3.610930493,3.583773119,3.723981139,3.724348296,3.337382688,3.225245046,3.622800415,3.211641958,3.398577211,3.270772955,3.377379703,3.34307736,3.467614349,3.723497627,3.919403856,4.328219979,3.34307736,3.079644309,3.326086685
3.69,2.78,3.48,3.12,9.17,9.46,10.63,10.74,9.826515121,10.73616513,11.38095883,10.66546028,9.823841691,7.688453147,7.738301753,8.020336902,7.426731756,6.669560529,7.76506707,7.418578528,7.243363264,7.532182528,7.545473449,7.402859623,8.002099057,7.12600919,7.037917718,6.478616107,6.789924528,6.661929489,5.843757587,5.066782758,7.216654515,8.18425604,7.452715225,5.648155781,6.683427204,6.5048255,6.390917059,7.535296609,6.515958737,6.593955712,6.056876301,6.41204186,7.316714477,5.652645503,6.149763261
5.72,6.48,6.23,5.95,9.41,9.74,9.23,9.98,7.194116609,7.401937594,8.239827624,8.44178224,6.097899391,6.570139564,6.78841311,7.437450834,7.099469413,6.438517319,6.979882118,7.140014758,6.818169434,6.850414169,6.253566832,6.042453033,6.028621678,6.621096817,4.959090399,5.073508124,5.377187457,5.189536405,5.810585011,5.404120296,8.487640696,8.717072227,7.909475498,7.359873956,7.391232224,8.201914536,7.039471671,8.218167151,7.779985969,7.935777854,6.584668442,7.312479307,7.827767004,7.44955345,8.382480179
3.14,2.72,3.18,3.26,5.32,5.09,5.53,5.41,6.177770327,5.481286023,5.389587461,5.614453669,1.672017935,3.36305891,8.660908841,8.483859304,8.153276077,8.270262281,7.960021166,7.598254867,8.324552036,8.810633403,8.887788882,8.172095408,7.84631412,7.651237772,8.425713902,8.541831262,8.022748452,7.685629066,7.971705861,7.312420864,6.62977639,7.135942735,6.312847704,4.807234367,5.220650295,4.488661824,5.283838186,5.646985949,4.516643883,4.740045732,4.216834943,4.641072542,6.997668676,5.639323772,5.939781225
2.47,2.48,2.25,2.27,5.26,6.18,5.5,5.33,2.53490824,4.156437068,2.101619824,4.045722536,0.784520734,2.396745876,3.958846774,4.052817478,4.15712128,4.121551498,4.283500543,4.292583278,4.016460743,3.969945541,4.136352406,4.511550121,4.159606929,3.98698864,4.348464521,4.115734853,4.028068182,4.486220161,3.685664324,4.373369237,3.379641436,3.859659896,3.655500404,3.940726326,3.733445527,3.603695737,3.785562115,3.603695737,3.68833482,3.592882428,3.68082096,3.440283425,3.590997652,3.786184631,3.72353591
5.41,5.73,5.46,5.25,4.01,3.93,3.84,3.87,7.358167658,7.2773339,7.499798062,6.859485091,7.184458835,7.306927502,6.923311298,6.992837801,6.439223052,7.043451905,7.160071868,6.532765588,6.940570962,6.873091567,6.472655188,7.717414736,6.648596798,6.407370689,7.122737552,7.288900132,6.888957869,7.688310871,7.784583135,6.92043645,6.654075998,6.527086293,6.235507584,6.770453551,5.944224644,6.252100554,6.207919999,6.244043799,6.359796799,6.132402507,6.036140595,6.182445549,6.183441685,6.137046762,6.217016451
3.51,4.31,4.37,3.51,7.98,8.42,8.69,8.98,2.642992623,8.612024375,4.627811089,3.906900214,6.745412145,0.518706339,4.466008532,4.51805776,4.412582915,4.237500017,5.578606731,4.873878625,4.181526627,5.220690296,4.807533141,4.26926421,6.936223957,5.593828318,4.643127667,4.631834175,4.113213358,3.977022456,4.290527376,4.369399295,8.145137201,8.897188544,6.263187476,5.61535845,5.339401496,4.35921496,4.579364778,5.231233001,5.455224445,5.208523573,4.863464811,4.496564824,9.352054243,7.474328954,7.577716632
3.06,2.98,2.91,2.82,4.31,4.65,4.75,4.76,6.278516364,6.220846493,6.027890519,6.503021102,5.470442504,6.450391428,4.505467717,4.265927987,4.051307532,3.827150574,4.419471903,3.967403835,3.779367826,3.972352484,4.051794703,4.115276876,4.145317164,4.090609017,3.745433315,4.109333107,4.163909936,4.056998218,4.316554008,3.837504953,5.01885817,4.674061022,4.815357712,4.785075244,4.8878053359999996,5.081344845,4.640378301,4.573993599,4.731744283,4.509891713,4.643272036,4.467677912,4.667630334,5.029980737,4.415042731
3.84,4.25,3.23,3.16,8.74,9.26,10.13,9.96,6.057456771,5.121674413,6.106968016,5.770073151,4.050519111,5.609030951,8.790210689,8.26312894,8.286430862,8.842412821,7.837640702,8.166402411,8.000620039,7.737551058,7.817581462,8.773021552,7.167179606,7.685425383,8.573447108,9.107416248,8.673084816,8.791465826,9.046230345,8.855305215,6.942618076,7.062045205,6.604583666,6.16451743,6.144859628,5.449037659,6.367834955,5.724914328,6.065104196,6.036142642,5.940114156,5.710244086,7.075595227,6.778985937,6.965190293
3.04,3.18,3.73,3.32,5.99,6.35,5.77,5.93,7.168772389,7.475887418,7.782270947,7.932179312,6.951564483,6.355007452,3.282031331,3.433590331,3.416347592,3.188577791,3.179774464,3.276331867,3.118591649,3.034490154,3.125598134,2.98513718,3.51882681,3.129959594,3.172742644,3.12050801,3.225857604,3.330156394,3.080408155,3.246261058,6.676668708,7.077073326,7.034228673,4.909441739,6.544032645,7.018761651,6.436260428,7.916997703,5.759083006,7.655415845,5.825055393,7.435204664,5.593085596,4.778559908,5.300570806
3.52,4.77,3.71,3.45,10.21,9.02,9.25,9.95,13.558337,13.92378243,13.31885346,13.09343077,12.68268082,11.1739082,7.346199135,7.378587631,7.355139667,7.834202495,4.843077342,6.539676191,7.058733066,7.531831468,6.887545869,7.51120553,4.533111342,5.509786527,8.071521413,7.167346462,7.293405245,8.995494726,7.470644457,8.131253,6.894744328,6.783414601,7.598070318,7.686313455,6.521685744,7.695941177,6.765872962,7.544293823,7.475025718,7.08329185,7.339547231,7.823674721,5.271429615,5.710912365,5.614086065
